subject actdesc features avg_measurement
1 LAYING tBodyAcc.mean...X 0.22159824394
1 LAYING tBodyAcc.mean...Y -0.0405139534294
1 LAYING tBodyAcc.mean...Z -0.11320355358
1 LAYING tGravityAcc.mean...X -0.24888179828
1 LAYING tGravityAcc.mean...Y 0.70554977346
1 LAYING tGravityAcc.mean...Z 0.4458177198
1 LAYING tBodyAccJerk.mean...X 0.0810865342
1 LAYING tBodyAccJerk.mean...Y 0.0038382040088
1 LAYING tBodyAccJerk.mean...Z 0.010834236361
1 LAYING tBodyGyro.mean...X -0.016553093978
1 LAYING tBodyGyro.mean...Y -0.064486124088
1 LAYING tBodyGyro.mean...Z 0.14868943626
1 LAYING tBodyGyroJerk.mean...X -0.107270949192
1 LAYING tBodyGyroJerk.mean...Y -0.04151728689
1 LAYING tBodyGyroJerk.mean...Z -0.0740501211
1 LAYING tBodyAccMag.mean.. -0.8419291525
1 LAYING tGravityAccMag.mean.. -0.8419291525
1 LAYING tBodyAccJerkMag.mean.. -0.9543962646
1 LAYING tBodyGyroMag.mean.. -0.874759548
1 LAYING tBodyGyroJerkMag.mean.. -0.96346103
1 LAYING fBodyAcc.mean...X -0.9390990524
1 LAYING fBodyAcc.mean...Y -0.86706520518
1 LAYING fBodyAcc.mean...Z -0.8826668762
1 LAYING fBodyAccJerk.mean...X -0.9570738838
1 LAYING fBodyAccJerk.mean...Y -0.9224626098
1 LAYING fBodyAccJerk.mean...Z -0.9480609042
1 LAYING fBodyGyro.mean...X -0.850249174586
1 LAYING fBodyGyro.mean...Y -0.9521914948
1 LAYING fBodyGyro.mean...Z -0.909302721
1 LAYING fBodyAccMag.mean.. -0.8617676481
1 LAYING fBodyBodyAccJerkMag.mean.. -0.9333003608
1 LAYING fBodyBodyGyroMag.mean.. -0.8621901854
1 LAYING fBodyBodyGyroJerkMag.mean.. -0.9423669466
1 LAYING angle.tBodyAccMean.gravity. 0.0213659655642
1 LAYING angle.tBodyAccJerkMean..gravityMean. 0.00306040735
1 LAYING angle.tBodyGyroMean.gravityMean. -0.001666984698
1 LAYING angle.tBodyGyroJerkMean.gravityMean. 0.08443716468
1 LAYING angle.X.gravityMean. 0.4267062264
1 LAYING angle.Y.gravityMean. -0.52034381798
1 LAYING angle.Z.gravityMean. -0.35241310896
1 LAYING tBodyAcc.std...X -0.9280564692
1 LAYING tBodyAcc.std...Y -0.83682740562
1 LAYING tBodyAcc.std...Z -0.826061401628
1 LAYING tGravityAcc.std...X -0.8968300184
1 LAYING tGravityAcc.std...Y -0.90772000676
1 LAYING tGravityAcc.std...Z -0.85236629022
1 LAYING tBodyAccJerk.std...X -0.958482112
1 LAYING tBodyAccJerk.std...Y -0.9241492736
1 LAYING tBodyAccJerk.std...Z -0.9548551108
1 LAYING tBodyGyro.std...X -0.87354386782
1 LAYING tBodyGyro.std...Y -0.9510904402
1 LAYING tBodyGyro.std...Z -0.9082846626
1 LAYING tBodyGyroJerk.std...X -0.9186085208
1 LAYING tBodyGyroJerk.std...Y -0.9679072436
1 LAYING tBodyGyroJerk.std...Z -0.9577901596
1 LAYING tBodyAccMag.std.. -0.79514486386
1 LAYING tGravityAccMag.std.. -0.79514486386
1 LAYING tBodyAccJerkMag.std.. -0.9282456284
1 LAYING tBodyGyroMag.std.. -0.81901016976
1 LAYING tBodyGyroJerkMag.std.. -0.9358409828
1 LAYING fBodyAcc.std...X -0.9244374346
1 LAYING fBodyAcc.std...Y -0.8336255561
1 LAYING fBodyAcc.std...Z -0.81289155944
1 LAYING fBodyAccJerk.std...X -0.9641607086
1 LAYING fBodyAccJerk.std...Y -0.9322178704
1 LAYING fBodyAccJerk.std...Z -0.9605869872
1 LAYING fBodyGyro.std...X -0.8822964508
1 LAYING fBodyGyro.std...Y -0.9512320494
1 LAYING fBodyGyro.std...Z -0.9165825082
1 LAYING fBodyAccMag.std.. -0.7983009404
1 LAYING fBodyBodyAccJerkMag.std.. -0.9218039756
1 LAYING fBodyBodyGyroMag.std.. -0.82431943968
1 LAYING fBodyBodyGyroJerkMag.std.. -0.9326606676
1 SITTING tBodyAcc.mean...X 0.261237565425532
1 SITTING tBodyAcc.mean...Y -0.00130828765170213
1 SITTING tBodyAcc.mean...Z -0.104544182255319
1 SITTING tGravityAcc.mean...X 0.831509933404255
1 SITTING tGravityAcc.mean...Y 0.204411592680851
1 SITTING tGravityAcc.mean...Z 0.332043702765957
1 SITTING tBodyAccJerk.mean...X 0.0774825199574468
1 SITTING tBodyAccJerk.mean...Y -0.000619102785106384
1 SITTING tBodyAccJerk.mean...Z -0.00336779235021277
1 SITTING tBodyGyro.mean...X -0.045350056512766
1 SITTING tBodyGyro.mean...Y -0.0919241549361702
1 SITTING tBodyGyro.mean...Z 0.0629313811914894
1 SITTING tBodyGyroJerk.mean...X -0.0936793807234043
1 SITTING tBodyGyroJerk.mean...Y -0.0402118124255319
1 SITTING tBodyGyroJerk.mean...Z -0.046702627
1 SITTING tBodyAccMag.mean.. -0.948536786170213
1 SITTING tGravityAccMag.mean.. -0.948536786170213
1 SITTING tBodyAccJerkMag.mean.. -0.987364195531915
1 SITTING tBodyGyroMag.mean.. -0.93089249
1 SITTING tBodyGyroJerkMag.mean.. -0.991976341276596
1 SITTING fBodyAcc.mean...X -0.979641238723404
1 SITTING fBodyAcc.mean...Y -0.944084550425532
1 SITTING fBodyAcc.mean...Z -0.959184889148936
1 SITTING fBodyAccJerk.mean...X -0.986597022553191
1 SITTING fBodyAccJerk.mean...Y -0.981579467021277
1 SITTING fBodyAccJerk.mean...Z -0.986053092340425
1 SITTING fBodyGyro.mean...X -0.976161464042553
1 SITTING fBodyGyro.mean...Y -0.975838585319149
1 SITTING fBodyGyro.mean...Z -0.951315544468085
1 SITTING fBodyAccMag.mean.. -0.947782922553192
1 SITTING fBodyBodyAccJerkMag.mean.. -0.985262126808511
1 SITTING fBodyBodyGyroMag.mean.. -0.958435589361702
1 SITTING fBodyBodyGyroJerkMag.mean.. -0.989797547234043
1 SITTING angle.tBodyAccMean.gravity. 0.0274415479191489
1 SITTING angle.tBodyAccJerkMean..gravityMean. 0.0297097878297872
1 SITTING angle.tBodyGyroMean.gravityMean. 0.0676981338723404
1 SITTING angle.tBodyGyroJerkMean.gravityMean. -0.064881619087234
1 SITTING angle.X.gravityMean. -0.591247480212766
1 SITTING angle.Y.gravityMean. -0.0604660253808511
1 SITTING angle.Z.gravityMean. -0.218017225106383
1 SITTING tBodyAcc.std...X -0.977229008297872
1 SITTING tBodyAcc.std...Y -0.922618641914894
1 SITTING tBodyAcc.std...Z -0.93958629106383
1 SITTING tGravityAcc.std...X -0.968457145744681
1 SITTING tGravityAcc.std...Y -0.935517055957447
1 SITTING tGravityAcc.std...Z -0.949040933191489
1 SITTING tBodyAccJerk.std...X -0.986430711276596
1 SITTING tBodyAccJerk.std...Y -0.981371965319149
1 SITTING tBodyAccJerk.std...Z -0.987910804468085
1 SITTING tBodyGyro.std...X -0.977211283191489
1 SITTING tBodyGyro.std...Y -0.966473895319149
1 SITTING tBodyGyro.std...Z -0.941425920851064
1 SITTING tBodyGyroJerk.std...X -0.99173159212766
1 SITTING tBodyGyroJerk.std...Y -0.989518068510638
1 SITTING tBodyGyroJerk.std...Z -0.987935806382979
1 SITTING tBodyAccMag.std.. -0.927078418723404
1 SITTING tGravityAccMag.std.. -0.927078418723404
1 SITTING tBodyAccJerkMag.std.. -0.984120024042553
1 SITTING tBodyGyroMag.std.. -0.934531840425532
1 SITTING tBodyGyroJerkMag.std.. -0.988308728510638
1 SITTING fBodyAcc.std...X -0.976412313191489
1 SITTING fBodyAcc.std...Y -0.917275006382979
1 SITTING fBodyAcc.std...Z -0.934469558085106
1 SITTING fBodyAccJerk.std...X -0.987492994468085
1 SITTING fBodyAccJerk.std...Y -0.982513909574468
1 SITTING fBodyAccJerk.std...Z -0.988339184893617
1 SITTING fBodyGyro.std...X -0.977904227021277
1 SITTING fBodyGyro.std...Y -0.962345042553192
1 SITTING fBodyGyro.std...Z -0.94391784106383
1 SITTING fBodyAccMag.std.. -0.928444801702128
1 SITTING fBodyBodyAccJerkMag.std.. -0.981606177446808
1 SITTING fBodyBodyGyroMag.std.. -0.932198374893617
1 SITTING fBodyBodyGyroJerkMag.std.. -0.987049617234043
1 STANDING tBodyAcc.mean...X 0.278917629056604
1 STANDING tBodyAcc.mean...Y -0.0161375901037736
1 STANDING tBodyAcc.mean...Z -0.110601817735849
1 STANDING tGravityAcc.mean...X 0.942952000377358
1 STANDING tGravityAcc.mean...Y -0.272983832264151
1 STANDING tGravityAcc.mean...Z 0.0134905823226415
1 STANDING tBodyAccJerk.mean...X 0.0753766542264151
1 STANDING tBodyAccJerk.mean...Y 0.00797573092830189
1 STANDING tBodyAccJerk.mean...Z -0.00368524954709434
1 STANDING tBodyGyro.mean...X -0.0239877347979245
1 STANDING tBodyGyro.mean...Y -0.0593972209811321
1 STANDING tBodyGyro.mean...Z 0.074800751
1 STANDING tBodyGyroJerk.mean...X -0.0996092129056604
1 STANDING tBodyGyroJerk.mean...Y -0.0440627877924528
1 STANDING tBodyGyroJerk.mean...Z -0.0489505466716981
1 STANDING tBodyAccMag.mean.. -0.984278207358491
1 STANDING tGravityAccMag.mean.. -0.984278207358491
1 STANDING tBodyAccJerkMag.mean.. -0.992367790566038
1 STANDING tBodyGyroMag.mean.. -0.976493792830189
1 STANDING tBodyGyroJerkMag.mean.. -0.994966790566038
1 STANDING fBodyAcc.mean...X -0.995249932641509
1 STANDING fBodyAcc.mean...Y -0.977070847735849
1 STANDING fBodyAcc.mean...Z -0.985297098679245
1 STANDING fBodyAccJerk.mean...X -0.994630797358491
1 STANDING fBodyAccJerk.mean...Y -0.985418704528302
1 STANDING fBodyAccJerk.mean...Z -0.990752166037736
1 STANDING fBodyGyro.mean...X -0.986386786037736
1 STANDING fBodyGyro.mean...Y -0.988984455849057
1 STANDING fBodyGyro.mean...Z -0.980773122830189
1 STANDING fBodyAccMag.mean.. -0.985356361132075
1 STANDING fBodyBodyAccJerkMag.mean.. -0.99254247754717
1 STANDING fBodyBodyGyroMag.mean.. -0.984617623396226
1 STANDING fBodyBodyGyroJerkMag.mean.. -0.994815376981132
1 STANDING angle.tBodyAccMean.gravity. -0.000222340747169812
1 STANDING angle.tBodyAccJerkMean..gravityMean. 0.021963782690566
1 STANDING angle.tBodyGyroMean.gravityMean. -0.0337938382037736
1 STANDING angle.tBodyGyroJerkMean.gravityMean. -0.0279229321962264
1 STANDING angle.X.gravityMean. -0.743407887924528
1 STANDING angle.Y.gravityMean. 0.270175032830189
1 STANDING angle.Z.gravityMean. 0.0122528503773585
1 STANDING tBodyAcc.std...X -0.995759901509434
1 STANDING tBodyAcc.std...Y -0.973190056415094
1 STANDING tBodyAcc.std...Z -0.979775876981132
1 STANDING tGravityAcc.std...X -0.99376298509434
1 STANDING tGravityAcc.std...Y -0.981225957924528
1 STANDING tGravityAcc.std...Z -0.976324063584906
1 STANDING tBodyAccJerk.std...X -0.994604542264151
1 STANDING tBodyAccJerk.std...Y -0.98564873245283
1 STANDING tBodyAccJerk.std...Z -0.992251177358491
1 STANDING tBodyGyro.std...X -0.987191946603774
1 STANDING tBodyGyro.std...Y -0.98773444
1 STANDING tBodyGyro.std...Z -0.980645626981132
1 STANDING tBodyGyroJerk.std...X -0.992945106981132
1 STANDING tBodyGyroJerk.std...Y -0.995137917358491
1 STANDING tBodyGyroJerk.std...Z -0.992108467169811
1 STANDING tBodyAccMag.std.. -0.981942928867925
1 STANDING tGravityAccMag.std.. -0.981942928867925
1 STANDING tBodyAccJerkMag.std.. -0.993096209433962
1 STANDING tBodyGyroMag.std.. -0.978690028679245
1 STANDING tBodyGyroJerkMag.std.. -0.994733238679245
1 STANDING fBodyAcc.std...X -0.99602834509434
1 STANDING fBodyAcc.std...Y -0.972293102075472
1 STANDING fBodyAcc.std...Z -0.977937259622642
1 STANDING fBodyAccJerk.std...X -0.995073759245283
1 STANDING fBodyAccJerk.std...Y -0.987018226792453
1 STANDING fBodyAccJerk.std...Z -0.992349818113208
1 STANDING fBodyGyro.std...X -0.987497128679245
1 STANDING fBodyGyro.std...Y -0.987107727735849
1 STANDING fBodyGyro.std...Z -0.98234533
1 STANDING fBodyAccMag.std.. -0.982313804716981
1 STANDING fBodyBodyAccJerkMag.std.. -0.992536003396226
1 STANDING fBodyBodyGyroMag.std.. -0.978466072075472
1 STANDING fBodyBodyGyroJerkMag.std.. -0.994671123207547
1 WALKING tBodyAcc.mean...X 0.277330758736842
1 WALKING tBodyAcc.mean...Y -0.0173838185273684
1 WALKING tBodyAcc.mean...Z -0.111148103547368
1 WALKING tGravityAcc.mean...X 0.935223201473684
1 WALKING tGravityAcc.mean...Y -0.282165021263158
1 WALKING tGravityAcc.mean...Z -0.068102864
1 WALKING tBodyAccJerk.mean...X 0.0740416333157895
1 WALKING tBodyAccJerk.mean...Y 0.0282721095884211
1 WALKING tBodyAccJerk.mean...Z -0.00416840617789474
1 WALKING tBodyGyro.mean...X -0.041830963526
1 WALKING tBodyGyro.mean...Y -0.0695300462115789
1 WALKING tBodyGyro.mean...Z 0.0849448173042105
1 WALKING tBodyGyroJerk.mean...X -0.0899975423705263
1 WALKING tBodyGyroJerk.mean...Y -0.0398428709463158
1 WALKING tBodyGyroJerk.mean...Z -0.0461309295021053
1 WALKING tBodyAccMag.mean.. -0.136971176556842
1 WALKING tGravityAccMag.mean.. -0.136971176556842
1 WALKING tBodyAccJerkMag.mean.. -0.141428809031579
1 WALKING tBodyGyroMag.mean.. -0.160979552536842
1 WALKING tBodyGyroJerkMag.mean.. -0.298703679084211
1 WALKING fBodyAcc.mean...X -0.202794306326316
1 WALKING fBodyAcc.mean...Y 0.0897127264021053
1 WALKING fBodyAcc.mean...Z -0.331560117789474
1 WALKING fBodyAccJerk.mean...X -0.170546964549579
1 WALKING fBodyAccJerk.mean...Y -0.0352255241130632
1 WALKING fBodyAccJerk.mean...Z -0.468999224631579
